ACADEMIE;N°Département;DEPARTEMENT;COMMUNE;UAI tête de réseau;NUMERO;NOM DE L'ETABLISSEMENT;TYPE_DETABLISSEMENT;EP;circonscription ;contact collège ou circonscription 
NORMANDIE;76;SEINE-MARITIME;LE HAVRE;0761739C;0763074D;PAULINE KERGOMARD;ECOLE ELEMENTAIRE OU PRIMAIRE;REP+;IEN LE HAVRE NORD;ce.0760186P@ac-normandie.fr
NORMANDIE;76;SEINE-MARITIME;LE HAVRE;0761739C;0761263K;RENAISSANCE;ECOLE MATERNELLE;REP+;IEN LE HAVRE NORD;ce.0760186P@ac-normandie.fr
NORMANDIE;76;SEINE-MARITIME;LE HAVRE;0761739C;0761941X;MAURICE UTRILLO;ECOLE MATERNELLE;REP+;IEN LE HAVRE NORD;ce.0760186P@ac-normandie.fr
NORMANDIE;76;SEINE-MARITIME;LE HAVRE;0761739C;0762389J;PAULINE KERGOMARD;ECOLE MATERNELLE;REP+;IEN LE HAVRE NORD;ce.0760186P@ac-normandie.fr
NORMANDIE;76;SEINE-MARITIME;LE HAVRE;0761782Z;0761782Z;EUGENE VARLIN;COLLEGE;REP+;;ce.0761782Z@ac-rouen.fr
NORMANDIE;76;SEINE-MARITIME;LE HAVRE;0761782Z;0761937T;EUGENE VARLIN 2;ECOLE ELEMENTAIRE OU PRIMAIRE;REP+;IEN LE HAVRE EST;ce.0762162M@ac-normandie.fr
NORMANDIE;76;SEINE-MARITIME;LE HAVRE;0761782Z;0762247E;EUGENE VARLIN 1;ECOLE ELEMENTAIRE OU PRIMAIRE;REP+;IEN LE HAVRE EST;ce.0762162M@ac-normandie.fr
NORMANDIE;76;SEINE-MARITIME;LE HAVRE;0761782Z;0760809S;MAXIMILIEN ROBESPIERRE;ECOLE ELEMENTAIRE OU PRIMAIRE;REP+;IEN LE HAVRE EST;ce.0762162M@ac-normandie.fr
NORMANDIE;76;SEINE-MARITIME;LE HAVRE;0761782Z;0763229X;EUGENE VARLIN;ECOLE MATERNELLE;REP+;IEN LE HAVRE EST;ce.0762162M@ac-normandie.fr
NORMANDIE;76;SEINE-MARITIME;LE HAVRE;0761782Z;0761259F;MAXIMILIEN ROBESPIERRE;ECOLE MATERNELLE;REP+;IEN LE HAVRE EST;ce.0762162M@ac-normandie.fr
NORMANDIE;76;SEINE-MARITIME;LE HAVRE;0761783A;0761783A;JACQUES MONOD;COLLEGE;REP+;;ce.0761783A@ac-rouen.fr
NORMANDIE;76;SEINE-MARITIME;LE HAVRE;0761783A;0762422V;JEAN JAURES;ECOLE ELEMENTAIRE OU PRIMAIRE;REP+;IEN LE HAVRE SUD;ce.0760188S@ac-normandie.fr
NORMANDIE;76;SEINE-MARITIME;LE HAVRE;0761783A;0763350D;GEORGE SAND;ECOLE ELEMENTAIRE OU PRIMAIRE;REP+;IEN LE HAVRE SUD;ce.0760188S@ac-normandie.fr
NORMANDIE;76;SEINE-MARITIME;LE HAVRE;0761783A;0761253Z;JULES DURAND;ECOLE MATERNELLE;REP+;IEN LE HAVRE SUD;ce.0760188S@ac-normandie.fr
NORMANDIE;76;SEINE-MARITIME;LE HAVRE;0761783A;0761260G;GEORGE SAND;ECOLE MATERNELLE;REP+;IEN LE HAVRE SUD;ce.0760188S@ac-normandie.fr
NORMANDIE;76;SEINE-MARITIME;LE HAVRE;0761783A;0762475C;CHARLES PERRAULT;ECOLE MATERNELLE;REP+;IEN LE HAVRE SUD;ce.0760188S@ac-normandie.fr
NORMANDIE;76;SEINE-MARITIME;LE HAVRE;0762127Z;0762127Z;HENRI WALLON;COLLEGE;REP+;;ce.0762127Z@ac-rouen.fr
NORMANDIE;76;SEINE-MARITIME;LE HAVRE;0762127Z;0762143S;CHARLES VICTOIRE;ECOLE ELEMENTAIRE OU PRIMAIRE;REP+;IEN LE HAVRE NORD;ce.0760186P@ac-normandie.fr
NORMANDIE;76;SEINE-MARITIME;LE HAVRE;0762127Z;0762425Y;HENRI WALLON;ECOLE ELEMENTAIRE OU PRIMAIRE;REP+;IEN LE HAVRE NORD;ce.0760186P@ac-normandie.fr
NORMANDIE;76;SEINE-MARITIME;LE HAVRE;0762127Z;0763226U;FRANCIS CARCO;ECOLE ELEMENTAIRE OU PRIMAIRE;REP+;IEN LE HAVRE NORD;ce.0760186P@ac-normandie.fr
NORMANDIE;76;SEINE-MARITIME;LE HAVRE;0762127Z;0762160K;CHARLES VICTOIRE;ECOLE MATERNELLE;REP+;IEN LE HAVRE NORD;ce.0760186P@ac-normandie.fr
NORMANDIE;76;SEINE-MARITIME;LE HAVRE;0762127Z;0762192V;HENRI WALLON;ECOLE MATERNELLE;REP+;IEN LE HAVRE NORD;ce.0760186P@ac-normandie.fr
NORMANDIE;76;SEINE-MARITIME;LE HAVRE;0762127Z;0762345L;FRANCIS CARCO;ECOLE MATERNELLE;REP+;IEN LE HAVRE NORD;ce.0760186P@ac-normandie.fr
NORMANDIE;76;SEINE-MARITIME;LE HAVRE;0762173Z;0762173Z;MARCEL PAGNOL;COLLEGE;REP+;;ce.0762173Z@ac-rouen.fr
NORMANDIE;76;SEINE-MARITIME;LE HAVRE;0762173Z;0760810T;VALMY;ECOLE ELEMENTAIRE OU PRIMAIRE;REP+;IEN LE HAVRE OUEST;ce.0760187R@ac-normandie.fr
NORMANDIE;76;SEINE-MARITIME;LE HAVRE;0762173Z;0763462A;MOLIERE;ECOLE ELEMENTAIRE OU PRIMAIRE;REP+;IEN LE HAVRE OUEST;ce.0760187R@ac-normandie.fr
NORMANDIE;76;SEINE-MARITIME;LE HAVRE;0762173Z;0761237G;ALPHONSE DE LAMARTINE;ECOLE MATERNELLE;REP+;IEN LE HAVRE OUEST;ce.0760187R@ac-normandie.fr
NORMANDIE;76;SEINE-MARITIME;LE HAVRE;0762173Z;0761266N;VALMY;ECOLE MATERNELLE;REP+;IEN LE HAVRE OUEST;ce.0760187R@ac-normandie.fr
NORMANDIE;76;SEINE-MARITIME;ROUEN;0760100W;0760100W;BOIELDIEU;COLLEGE;REP+;;ce.0760100W@ac-rouen.fr
NORMANDIE;76;SEINE-MARITIME;ROUEN;0760100W;0762628U;LES SAPINS;ECOLE ELEMENTAIRE OU PRIMAIRE;REP+;IEN ROUEN NORD;ce.0762122U@ac-normandie.fr
NORMANDIE;76;SEINE-MARITIME;ROUEN;0760100W;0762806M;GUY DE MAUPASSANT;ECOLE ELEMENTAIRE OU PRIMAIRE;REP+;IEN ROUEN NORD;ce.0762122U@ac-normandie.fr
NORMANDIE;76;SEINE-MARITIME;ROUEN;0760100W;0760256R;MARGUERITE MESSIER;ECOLE MATERNELLE;REP+;IEN ROUEN NORD;ce.0762122U@ac-normandie.fr
NORMANDIE;76;SEINE-MARITIME;ROUEN;0760100W;0760262X;LES SAPINS;ECOLE MATERNELLE;REP+;IEN ROUEN NORD;ce.0762122U@ac-normandie.fr
NORMANDIE;76;SEINE-MARITIME;ROUEN;0761780X;0761780X;GEORGES BRAQUE;COLLEGE;REP+;;ce.0761780X@ac-rouen.fr
NORMANDIE;76;SEINE-MARITIME;ROUEN;0761780X;0760223E;PIERRE DE RONSARD - FRANCOIS VILLON;ECOLE ELEMENTAIRE OU PRIMAIRE;REP+;IEN ROUEN NORD;ce.0762122U@ac-normandie.fr
NORMANDIE;76;SEINE-MARITIME;ROUEN;0761780X;0760238W;CLEMENT MAROT;ECOLE ELEMENTAIRE OU PRIMAIRE;REP+;IEN ROUEN NORD;ce.0762122U@ac-normandie.fr
NORMANDIE;76;SEINE-MARITIME;ROUEN;0761780X;0761897Z;JEAN-PHILIPPE RAMEAU;ECOLE ELEMENTAIRE OU PRIMAIRE;REP+;IEN ROUEN NORD;ce.0762122U@ac-normandie.fr
NORMANDIE;76;SEINE-MARITIME;ROUEN;0761780X;0763215G;CLAUDE DEBUSSY;ECOLE ELEMENTAIRE OU PRIMAIRE;REP+;IEN ROUEN NORD;ce.0762122U@ac-normandie.fr
NORMANDIE;76;SEINE-MARITIME;ROUEN;0761780X;0761933N;CLAUDE DEBUSSY;ECOLE MATERNELLE;REP+;IEN ROUEN NORD;ce.0762122U@ac-normandie.fr
NORMANDIE;76;SEINE-MARITIME;ROUEN;0761780X;0761934P;JEAN-PHILIPPE RAMEAU;ECOLE MATERNELLE;REP+;IEN ROUEN NORD;ce.0762122U@ac-normandie.fr
NORMANDIE;76;SEINE-MARITIME;ROUEN;0761780X;0762071N;CAMILLE CLAUDEL;ECOLE MATERNELLE;REP+;IEN ROUEN NORD;ce.0762122U@ac-normandie.fr
NORMANDIE;76;SEINE-MARITIME;SAINT-ETIENNE-DU-ROUVRAY;0762132E;0762132E;ROBESPIERRE;COLLEGE;REP+;;ce.0762132E@ac-rouen.fr
NORMANDIE;76;SEINE-MARITIME;SAINT-ETIENNE-DU-ROUVRAY;0762132E;0762685F;JEAN MACE;ECOLE ELEMENTAIRE OU PRIMAIRE;REP+;IEN ROUEN SUD;ce.0760192W@ac-normandie.fr
NORMANDIE;76;SEINE-MARITIME;SAINT-ETIENNE-DU-ROUVRAY;0762132E;0760974W;JEAN MACE;ECOLE MATERNELLE;REP+;IEN ROUEN SUD;ce.0760192W@ac-normandie.fr
NORMANDIE;76;SEINE-MARITIME;SAINT-ETIENNE-DU-ROUVRAY;0762132E;0760980C;MAXIMILIEN ROBESPIERRE;ECOLE MATERNELLE;REP+;IEN ROUEN SUD;ce.0760192W@ac-normandie.fr
STRASBOURG;67;BAS-RHIN;STRASBOURG;0670105A;0670105A;LEZAY MARNESIA;COLLEGE;REP+;;ce.0670105A@ac-strasbourg.fr
STRASBOURG;67;BAS-RHIN;STRASBOURG;0670105A;0672360B;MEINAU;ECOLE ELEMENTAIRE OU PRIMAIRE;REP+;IEN STRASBOURG 1;ce.0671561H@ac-strasbourg.fr
STRASBOURG;67;BAS-RHIN;STRASBOURG;0670105A;0672627S;JEAN FISCHART;ECOLE ELEMENTAIRE OU PRIMAIRE;REP+;IEN STRASBOURG 1;ce.0671561H@ac-strasbourg.fr
STRASBOURG;67;BAS-RHIN;STRASBOURG;0670105A;0672645L;CANARDIERE;ECOLE ELEMENTAIRE OU PRIMAIRE;REP+;IEN STRASBOURG 1;ce.0671561H@ac-strasbourg.fr
STRASBOURG;67;BAS-RHIN;STRASBOURG;0670105A;0670285W;CANARDIERE;ECOLE MATERNELLE;REP+;IEN STRASBOURG 1;ce.0671561H@ac-strasbourg.fr
STRASBOURG;67;BAS-RHIN;STRASBOURG;0670105A;0670286X;LEZAY MARNESIA;ECOLE MATERNELLE;REP+;IEN STRASBOURG 1;ce.0671561H@ac-strasbourg.fr
STRASBOURG;67;BAS-RHIN;STRASBOURG;0670105A;0670461M;MEINAU;ECOLE MATERNELLE;REP+;IEN STRASBOURG 1;ce.0671561H@ac-strasbourg.fr
STRASBOURG;67;BAS-RHIN;STRASBOURG;0670105A;0671333K;JEAN FISCHART;ECOLE MATERNELLE;REP+;IEN STRASBOURG 1;ce.0671561H@ac-strasbourg.fr
STRASBOURG;67;BAS-RHIN;STRASBOURG;0671692A;0671692A;SOLIGNAC;COLLEGE;REP+;;ce.0671692A@ac-strasbourg.fr
STRASBOURG;67;BAS-RHIN;STRASBOURG;0671692A;0670383C;GUYNEMER 1;ECOLE ELEMENTAIRE OU PRIMAIRE;REP+;IEN STRASBOURG 3;ce.0671563K@ac-strasbourg.fr
STRASBOURG;67;BAS-RHIN;STRASBOURG;0671692A;0670384D;GUYNEMER 2;ECOLE ELEMENTAIRE OU PRIMAIRE;REP+;IEN STRASBOURG 3;ce.0671563K@ac-strasbourg.fr
STRASBOURG;67;BAS-RHIN;STRASBOURG;0671692A;0672422U;ZIEGELWASSER;ECOLE ELEMENTAIRE OU PRIMAIRE;REP+;IEN STRASBOURG 3;ce.0671563K@ac-strasbourg.fr
STRASBOURG;67;BAS-RHIN;STRASBOURG;0671692A;0671890R;LES CANONNIERS;ECOLE MATERNELLE;REP+;IEN STRASBOURG 3;ce.0671563K@ac-strasbourg.fr
STRASBOURG;67;BAS-RHIN;STRASBOURG;0671692A;0672423V;ZIEGELWASSER;ECOLE MATERNELLE;REP+;IEN STRASBOURG 3;ce.0671563K@ac-strasbourg.fr
STRASBOURG;67;BAS-RHIN;STRASBOURG;0671692A;0672886Y;ARIANE 1CARE;ECOLE MATERNELLE;REP+;IEN STRASBOURG 3;ce.0671563K@ac-strasbourg.fr
STRASBOURG;67;BAS-RHIN;STRASBOURG;0671825V;0671825V;FRANCOIS TRUFFAUT;COLLEGE;REP+;;ce.0671825V@ac-strasbourg.fr
STRASBOURG;67;BAS-RHIN;STRASBOURG;0671825V;0671887M;CATHERINE;ECOLE ELEMENTAIRE OU PRIMAIRE;REP+;IEN STRASBOURG 5;ce.0671559F@ac-strasbourg.fr
STRASBOURG;67;BAS-RHIN;STRASBOURG;0671825V;0672009V;KARINE;ECOLE ELEMENTAIRE OU PRIMAIRE;REP+;IEN STRASBOURG 5;ce.0671559F@ac-strasbourg.fr
STRASBOURG;67;BAS-RHIN;STRASBOURG;0671825V;0672549G;JACQUELINE;ECOLE ELEMENTAIRE OU PRIMAIRE;REP+;IEN STRASBOURG 5;ce.0671559F@ac-strasbourg.fr
STRASBOURG;67;BAS-RHIN;STRASBOURG;0671825V;0671889P;CATHERINE;ECOLE MATERNELLE;REP+;IEN STRASBOURG 5;ce.0671559F@ac-strasbourg.fr
STRASBOURG;67;BAS-RHIN;STRASBOURG;0671825V;0671939U;JACQUELINE;ECOLE MATERNELLE;REP+;IEN STRASBOURG 5;ce.0671559F@ac-strasbourg.fr
STRASBOURG;67;BAS-RHIN;STRASBOURG;0671825V;0671970C;KARINE 1;ECOLE MATERNELLE;REP+;IEN STRASBOURG 5;ce.0671559F@ac-strasbourg.fr
STRASBOURG;67;BAS-RHIN;STRASBOURG;0671907J;0671907J;HANS ARP;COLLEGE;REP+;;ce.0671907J@ac-strasbourg.fr
STRASBOURG;67;BAS-RHIN;STRASBOURG;0671907J;0670425Y;GLIESBERG;ECOLE ELEMENTAIRE OU PRIMAIRE;REP+;IEN STRASBOURG 4;ce.0671943Y@ac-strasbourg.fr
STRASBOURG;67;BAS-RHIN;STRASBOURG;0671907J;0671775R;MARTIN SCHONGAUER;ECOLE ELEMENTAIRE OU PRIMAIRE;REP+;IEN STRASBOURG 4;ce.0671943Y@ac-strasbourg.fr
STRASBOURG;67;BAS-RHIN;STRASBOURG;0671907J;0672286W;GUTENBERG;ECOLE ELEMENTAIRE OU PRIMAIRE;REP+;IEN STRASBOURG 4;ce.0671943Y@ac-strasbourg.fr
STRASBOURG;67;BAS-RHIN;STRASBOURG;0671907J;0672532N;LEONARD DE VINCI;ECOLE ELEMENTAIRE OU PRIMAIRE;REP+;IEN STRASBOURG 4;ce.0671943Y@ac-strasbourg.fr
STRASBOURG;67;BAS-RHIN;STRASBOURG;0671907J;0672036Z;ERCKMANN CHATRIAN;ECOLE ELEMENTAIRE OU PRIMAIRE;REP+;IEN STRASBOURG 4;ce.0671943Y@ac-strasbourg.fr
STRASBOURG;67;BAS-RHIN;STRASBOURG;0671907J;0671332J;ERCKMANN CHATRIAN;ECOLE MATERNELLE;REP+;IEN STRASBOURG 4;ce.0671943Y@ac-strasbourg.fr
STRASBOURG;67;BAS-RHIN;STRASBOURG;0671907J;0670280R;LEONARD DE VINCI;ECOLE MATERNELLE;REP+;IEN STRASBOURG 4;ce.0671943Y@ac-strasbourg.fr
STRASBOURG;67;BAS-RHIN;STRASBOURG;0671907J;0670281S;GLIESBERG;ECOLE MATERNELLE;REP+;IEN STRASBOURG 4;ce.0671943Y@ac-strasbourg.fr
STRASBOURG;67;BAS-RHIN;STRASBOURG;0671907J;0670282T;GUTENBERG;ECOLE MATERNELLE;REP+;IEN STRASBOURG 4;ce.0671943Y@ac-strasbourg.fr
STRASBOURG;67;BAS-RHIN;STRASBOURG;0671907J;0671971D;MARTIN SCHONGAUER;ECOLE MATERNELLE;REP+;IEN STRASBOURG 4;ce.0671943Y@ac-strasbourg.fr
STRASBOURG;67;BAS-RHIN;STRASBOURG;0672459J;0672459J;ERASME;COLLEGE;REP+;;ce.0672459J@ac-strasbourg.fr
STRASBOURG;67;BAS-RHIN;STRASBOURG;0672459J;0672113H;BRIGITTE;ECOLE ELEMENTAIRE OU PRIMAIRE;REP+;IEN STRASBOURG 5;ce.0671559F@ac-strasbourg.fr
STRASBOURG;67;BAS-RHIN;STRASBOURG;0672459J;0672665H;ELEONORE;ECOLE ELEMENTAIRE OU PRIMAIRE;REP+;IEN STRASBOURG 5;ce.0671559F@ac-strasbourg.fr
STRASBOURG;67;BAS-RHIN;STRASBOURG;0672459J;0671777T;ELEONORE A;ECOLE MATERNELLE;REP+;IEN STRASBOURG 5;ce.0671559F@ac-strasbourg.fr
STRASBOURG;67;BAS-RHIN;STRASBOURG;0672459J;0671888N;ELEONORE B;ECOLE MATERNELLE;REP+;IEN STRASBOURG 5;ce.0671559F@ac-strasbourg.fr
STRASBOURG;67;BAS-RHIN;STRASBOURG;0672459J;0672109D;BRIGITTE;ECOLE MATERNELLE;REP+;IEN STRASBOURG 5;ce.0671559F@ac-strasbourg.fr
STRASBOURG;68;HAUT-RHIN;COLMAR;0680084X;0680084X;MOLIERE;COLLEGE;REP+;;ce.0680084X@ac-strasbourg.fr
STRASBOURG;68;HAUT-RHIN;COLMAR;0680084X;0681185U;ANTOINE DE SAINT-EXUPERY;ECOLE ELEMENTAIRE OU PRIMAIRE;REP+;IEN COLMAR;ce.0680119K@ac-strasbourg.fr
STRASBOURG;68;HAUT-RHIN;COLMAR;0680084X;0681391T;ANNE FRANK;ECOLE ELEMENTAIRE OU PRIMAIRE;REP+;IEN COLMAR;ce.0680119K@ac-strasbourg.fr
STRASBOURG;68;HAUT-RHIN;COLMAR;0680084X;0681797J;PFISTER;ECOLE ELEMENTAIRE OU PRIMAIRE;REP+;IEN COLMAR;ce.0680119K@ac-strasbourg.fr
STRASBOURG;68;HAUT-RHIN;COLMAR;0680084X;0681158P;LES VIOLETTES;ECOLE MATERNELLE;REP+;IEN COLMAR;ce.0680119K@ac-strasbourg.fr
STRASBOURG;68;HAUT-RHIN;COLMAR;0680084X;0681173F;ANTOINE DE SAINT-EXUPERY;ECOLE MATERNELLE;REP+;IEN COLMAR;ce.0680119K@ac-strasbourg.fr
STRASBOURG;68;HAUT-RHIN;COLMAR;0680084X;0681354C;ANNE FRANK;ECOLE MATERNELLE;REP+;IEN COLMAR;ce.0680119K@ac-strasbourg.fr
STRASBOURG;68;HAUT-RHIN;COLMAR;0680084X;0681422B;LES GERANIUMS;ECOLE MATERNELLE;REP+;IEN COLMAR;ce.0680119K@ac-strasbourg.fr
STRASBOURG;68;HAUT-RHIN;COLMAR;0680084X;0681632E;LES COQUELICOTS;ECOLE MATERNELLE;REP+;IEN COLMAR;ce.0680119K@ac-strasbourg.fr
STRASBOURG;68;HAUT-RHIN;MULHOUSE;0680105V;0680105V;KENNEDY;COLLEGE;REP+;;ce.0680105V@ac-strasbourg.fr
STRASBOURG;68;HAUT-RHIN;MULHOUSE;0680105V;0681002V;COUR DE LORRAINE;ECOLE ELEMENTAIRE OU PRIMAIRE;REP+;IEN MULHOUSE 3;ce.0682027J@ac-strasbourg.fr
STRASBOURG;68;HAUT-RHIN;MULHOUSE;0680105V;0681508V;KOECHLIN;ECOLE ELEMENTAIRE OU PRIMAIRE;REP+;IEN MULHOUSE 3;ce.0682027J@ac-strasbourg.fr
STRASBOURG;68;HAUT-RHIN;MULHOUSE;0680105V;0680628N;LES TONNELIERS;ECOLE MATERNELLE;REP+;IEN MULHOUSE 3;ce.0682027J@ac-strasbourg.fr
STRASBOURG;68;HAUT-RHIN;MULHOUSE;0680105V;0681028Y;CHRISTIAN ZUBER;ECOLE MATERNELLE;REP+;IEN MULHOUSE 3;ce.0682027J@ac-strasbourg.fr
STRASBOURG;68;HAUT-RHIN;MULHOUSE;0680105V;0681030A;FRANKLIN;ECOLE MATERNELLE;REP+;IEN MULHOUSE 3;ce.0682027J@ac-strasbourg.fr
STRASBOURG;68;HAUT-RHIN;MULHOUSE;0680105V;0681592L;MONTAIGNE;ECOLE MATERNELLE;REP+;IEN MULHOUSE 3;ce.0682027J@ac-strasbourg.fr
STRASBOURG;68;HAUT-RHIN;MULHOUSE;0680105V;0681910G;VERONIQUE FILOZOF;ECOLE MATERNELLE;REP+;IEN MULHOUSE 3;ce.0682027J@ac-strasbourg.fr
STRASBOURG;68;HAUT-RHIN;MULHOUSE;0680110A;0680110A;JEAN MACE;COLLEGE;REP+;;ce.0680110A@ac-strasbourg.fr
STRASBOURG;68;HAUT-RHIN;MULHOUSE;0680110A;0681143Y;LOUIS PERGAUD;ECOLE ELEMENTAIRE OU PRIMAIRE;REP+;IEN MULHOUSE 1;ce.0680122N@ac-strasbourg.fr
STRASBOURG;68;HAUT-RHIN;MULHOUSE;0680110A;0681891L;HENRI MATISSE;ECOLE ELEMENTAIRE OU PRIMAIRE;REP+;IEN MULHOUSE 1;ce.0680122N@ac-strasbourg.fr
STRASBOURG;68;HAUT-RHIN;MULHOUSE;0680110A;0681026W;ALBERT CAMUS;ECOLE MATERNELLE;REP+;IEN MULHOUSE 1;ce.0680122N@ac-strasbourg.fr
STRASBOURG;68;HAUT-RHIN;MULHOUSE;0680110A;0681146B;LOUIS PERGAUD;ECOLE MATERNELLE;REP+;IEN MULHOUSE 1;ce.0680122N@ac-strasbourg.fr
STRASBOURG;68;HAUT-RHIN;MULHOUSE;0680110A;0681245J;JULES VERNE;ECOLE MATERNELLE;REP+;IEN MULHOUSE 1;ce.0680122N@ac-strasbourg.fr
STRASBOURG;68;HAUT-RHIN;MULHOUSE;0680110A;0681525N;PLEIN CIEL;ECOLE MATERNELLE;REP+;IEN MULHOUSE 1;ce.0680122N@ac-strasbourg.fr
STRASBOURG;68;HAUT-RHIN;MULHOUSE;0680111B;0680111B;ANTOINE DE SAINT-EXUPERY;COLLEGE;REP+;;ce.0680111B@ac-strasbourg.fr
STRASBOURG;68;HAUT-RHIN;MULHOUSE;0680111B;0680984A;NORDFELD;ECOLE ELEMENTAIRE OU PRIMAIRE;REP+;IEN MULHOUSE 2;ce.0680123P@ac-strasbourg.fr
STRASBOURG;68;HAUT-RHIN;MULHOUSE;0680111B;0681312G;HENRI SELLIER;ECOLE ELEMENTAIRE OU PRIMAIRE;REP+;IEN MULHOUSE 2;ce.0680123P@ac-strasbourg.fr
STRASBOURG;68;HAUT-RHIN;MULHOUSE;0680111B;0681845L;DROUOT;ECOLE ELEMENTAIRE OU PRIMAIRE;REP+;IEN MULHOUSE 2;ce.0680123P@ac-strasbourg.fr
STRASBOURG;68;HAUT-RHIN;MULHOUSE;0680111B;0680629P;FRANCOIS FREY;ECOLE MATERNELLE;REP+;IEN MULHOUSE 2;ce.0680123P@ac-strasbourg.fr
STRASBOURG;68;HAUT-RHIN;MULHOUSE;0680111B;0681027X;JEAN DE LOISY;ECOLE MATERNELLE;REP+;IEN MULHOUSE 2;ce.0680123P@ac-strasbourg.fr
STRASBOURG;68;HAUT-RHIN;MULHOUSE;0680111B;0681035F;LEFEBVRE;ECOLE MATERNELLE;REP+;IEN MULHOUSE 2;ce.0680123P@ac-strasbourg.fr
STRASBOURG;68;HAUT-RHIN;MULHOUSE;0680111B;0681040L;NORDFELD;ECOLE MATERNELLE;REP+;IEN MULHOUSE 2;ce.0680123P@ac-strasbourg.fr
STRASBOURG;68;HAUT-RHIN;MULHOUSE;0680111B;0681147C;ANTOINE DE SAINT-EXUPERY;ECOLE MATERNELLE;REP+;IEN MULHOUSE 2;ce.0680123P@ac-strasbourg.fr
STRASBOURG;68;HAUT-RHIN;MULHOUSE;0681127F;0681127F;BOURTZWILLER;COLLEGE;REP+;;ce.0681127F@ac-strasbourg.fr
STRASBOURG;68;HAUT-RHIN;MULHOUSE;0681127F;0680986C;PIERRE BROSSOLETTE;ECOLE ELEMENTAIRE OU PRIMAIRE;REP+;IEN MULHOUSE 2;ce.0680123P@ac-strasbourg.fr
STRASBOURG;68;HAUT-RHIN;MULHOUSE;0681127F;0681762W;PAUL STINTZI;ECOLE ELEMENTAIRE OU PRIMAIRE;REP+;IEN MULHOUSE 2;ce.0680123P@ac-strasbourg.fr
STRASBOURG;68;HAUT-RHIN;MULHOUSE;0681127F;0681829U;VICTOR HUGO;ECOLE ELEMENTAIRE OU PRIMAIRE;REP+;IEN MULHOUSE 2;ce.0680123P@ac-strasbourg.fr
STRASBOURG;68;HAUT-RHIN;MULHOUSE;0681127F;0681023T;SEBASTIEN BOURTZ;ECOLE MATERNELLE;REP+;IEN MULHOUSE 2;ce.0680123P@ac-strasbourg.fr
STRASBOURG;68;HAUT-RHIN;MULHOUSE;0681127F;0681041M;CHARLES PERRAULT;ECOLE MATERNELLE;REP+;IEN MULHOUSE 2;ce.0680123P@ac-strasbourg.fr
STRASBOURG;68;HAUT-RHIN;MULHOUSE;0681127F;0681145A;DIEPPE;ECOLE MATERNELLE;REP+;IEN MULHOUSE 2;ce.0680123P@ac-strasbourg.fr
STRASBOURG;68;HAUT-RHIN;MULHOUSE;0681127F;0681524M;RUE DE QUIMPER;ECOLE MATERNELLE;REP+;IEN MULHOUSE 2;ce.0680123P@ac-strasbourg.fr
STRASBOURG;68;HAUT-RHIN;MULHOUSE;0681284B;0681284B;WOLF;COLLEGE;REP+;;ce.0681284B@ac-strasbourg.fr
STRASBOURG;68;HAUT-RHIN;MULHOUSE;0681284B;0681259Z;WOLF;ECOLE ELEMENTAIRE OU PRIMAIRE;REP+;IEN MULHOUSE 2;ce.0680123P@ac-strasbourg.fr
STRASBOURG;68;HAUT-RHIN;MULHOUSE;0681284B;0681310E;JEAN WAGNER;ECOLE ELEMENTAIRE OU PRIMAIRE;REP+;IEN MULHOUSE 2;ce.0680123P@ac-strasbourg.fr
STRASBOURG;68;HAUT-RHIN;MULHOUSE;0681284B;0680632T;WOLF;ECOLE MATERNELLE;REP+;IEN MULHOUSE 2;ce.0680123P@ac-strasbourg.fr
STRASBOURG;68;HAUT-RHIN;MULHOUSE;0681395X;0681395X;FRANCOIS VILLON;COLLEGE;REP+;;ce.0681395X@ac-strasbourg.fr
STRASBOURG;68;HAUT-RHIN;MULHOUSE;0681395X;0680996N;LA FONTAINE;ECOLE ELEMENTAIRE OU PRIMAIRE;REP+;IEN MULHOUSE 1;ce.0680122N@ac-strasbourg.fr
STRASBOURG;68;HAUT-RHIN;MULHOUSE;0681395X;0681307B;JEAN ZAY;ECOLE ELEMENTAIRE OU PRIMAIRE;REP+;IEN MULHOUSE 1;ce.0680122N@ac-strasbourg.fr
STRASBOURG;68;HAUT-RHIN;MULHOUSE;0681395X;0681311F;FURSTENBERGER;ECOLE ELEMENTAIRE OU PRIMAIRE;REP+;IEN MULHOUSE 1;ce.0680122N@ac-strasbourg.fr
STRASBOURG;68;HAUT-RHIN;MULHOUSE;0681395X;0681459S;PIERREFONTAINE;ECOLE ELEMENTAIRE OU PRIMAIRE;REP+;IEN MULHOUSE 1;ce.0680122N@ac-strasbourg.fr
STRASBOURG;68;HAUT-RHIN;MULHOUSE;0681395X;0681789A;THERESE;ECOLE ELEMENTAIRE OU PRIMAIRE;REP+;IEN MULHOUSE 1;ce.0680122N@ac-strasbourg.fr
STRASBOURG;68;HAUT-RHIN;MULHOUSE;0681395X;0680627M;LA CITE;ECOLE MATERNELLE;REP+;IEN MULHOUSE 1;ce.0680122N@ac-strasbourg.fr
STRASBOURG;68;HAUT-RHIN;MULHOUSE;0681395X;0681025V;SEBASTIEN BRANT;ECOLE MATERNELLE;REP+;IEN MULHOUSE 1;ce.0680122N@ac-strasbourg.fr
